Abbreviation,Main Keywords
ctit,IoT data management; AI/ML data management; Healthcare data management; Cybersecurity data management; Big data databases; Unstructured data management; Real-time data analysis; Knowledge graphs and semantic databases; Quantum computing for databases; Blockchain databases; Advanced topics; Modern innovations; Secure software development; Domain applications; Sustainability and Green IT; Biotechnology and IT convergence; Neurotechnology; Urban technologies; Agricultural technology; Ethical and Social Aspects; Advanced communications; Future of Internet
ctsp,Control System Signal; Transmission Signals; Digital Signals; Electrical Signaling; Telecommunication Transmission Signals; Time-Varying Measurement Values; Sensor Data - Multiple; Optical Signal Processing; Multimedia Signal Processing; Applied Mathematics and Signaling; Emerging Technologies in Signal Processing; Signal Processing in Healthcare and Life Sciences; Security and Signal Integrity
jopc,
ecft,Electronic Business; Business Process Re-Engineering; Electronic Commerce Policy and Theory; Supply Chain and Customer Relationship Management and Business Process; EDI Trading Network; Social Commerce; Mobile Commerce; Inventory Management Systems; Automated Data Collection Systems; s Lifecycle; Research Limitations/Implications; Design of the Internet Retailing Questionnaire; Data Reduction Through Identification of Factors; Additional Emerging Topics
ijaba,"Reproductive Biotechnology; Animal Genetics; Animal Tissue Culture; Transgenic Animals and Technologies; Infectious Diseases in Animals; Probiotics and Microbiome Engineering; Induced Stem Cells and Regenerative Medicine; Paratransgenesis and Symbiont-mediated Biotechnology; Systems Biology and Omics Approaches; Synthetic Biology and Bioengineering Applications; Sustainable Animal Production and Environmental Biotechnology; Nanotechnology in Veterinary Sciences; One Health Approach and Zoonotic Disease Biotechnology; Ethical, Legal, and Societal Implications (ELSI)"
,"Aerodynamics; Nonlinear dynamics, structural dynamics; System Dynamics; Structural dynamics; Computational fluid dynamics, Intelligent Machine; Nonlinear Dynamics and Network Dynamics; Condensed Matter Dynamics; Quantum Condensed Matter Dynamics; Ultrafast Electron Dynamics"
ijchnp,
,Divide and conquer; Dynamic programming; Greedy algorithms; Backtracking; Algorithmic languages; Amortized analysis; Linear programming; Linear-time sorting; Advanced algorithm design; Randomized algorithms
,Molecular Enzymology; Bioreactor Engineering; Biochemical Reactions; Crystallography; Spectroscopy; Metabolomics; Thermodynamics; Transcriptomics; Enzymology
joaet,aeroacoustics of flight vehicles
,"Distributed Computing; Computer networks and network security; Web services composition; Cryptology; Validation, verification, coding, testing, maintenance, metrics, and renovation of software; Design, implementation and Design, implementation, and evaluation of programming languages; Programming environments; Development tools, visualization, and animation; Human factors in software; Operating systems, system administration, and network management"
,"Bioinformatics, Biophysics, and Biostatistics; Computational and Statistical Genetics; System Biology; Molecular Biology and Biochemistry; Genomics and Proteomics; Mathematical Biology; Network Biology; Medical Informatics; Biomarker Discovery and Mass-Spectrometry; Organization and Drug Designing Tools for Development Analysis; Parallel Computation, Linking Disparate Databases, Data Mining; Biological Software Design and Development; Computational Biomodelling (Molecular Modelling); Biological Algorithms Development and Implementation; Multiple Sequence Alignment and Biological Databases Development"
,Fundamental data structures; Recursive algorithms; Dynamic information structures; Language structures and compilers; ASCII character set; Pascal syntax diagrams; Advanced data structures and algorithms; B-trees; Array data structure
ija,Fertilizer chemistry; Pesticide chemistry; Herbicide chemistry; Fungicide chemistry; Plant nutrition chemistry; Agrochemical formulation chemistry; Chemical residue analysis; Agrochemical degradation chemistry; Chemical-biological interactions; Toxicological chemistry of agrochemicals; Environmental chemistry of agrochemicals; Innovative agrochemical chemistry
